ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SSCL,MS0018,CASSILÂNDIA,CASSILÂNDIA,MS,19° 8' 49'' S,51° 40' 35'' W,481,VFR Diurno, 13/31,1081,18,PCN 10/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBDB,MS0004,BONITO,BONITO,MS,21° 14' 50'' S,56° 27' 9'' W,334,VFR Diurno/Noturno, 18/36,2000,30,PCN 48/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBDN,SP0005,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,SP,22° 10' 42'' S,51° 25' 8'' W,452,VFR Diurno/Noturno e IFR Diurno/Noturno, 12/30,2100,35,PCN 38/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBDO,MS0008,DOURADOS,DOURADOS,MS,22° 12' 2'' S,54° 55' 32'' W,458,VFR Diurno/Noturno e IFR Diurno/Noturno, 06/24,1950,30,PCN 28/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBEG,AM0001,EDUARDO GOMES,MANAUS,AM,3° 2' 28'' S,60° 3' 2'' W,80,VFR Diurno/Noturno e IFR Diurno/Noturno, 11/29,2700,45,PCN 71/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBEK,PA0011,JACAREACANGA,JACAREACANGA,PA,6° 14' 7'' S,57° 46' 33'' W,99,VFR Diurno e IFR Diurno, 08/26,1600,30,PCN 36/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBFI,PR0002,CATARATAS,FOZ DO IGUAÇU,PR,25° 36' 1'' S,54° 29' 6'' W,240,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,2195,45,PCN 51/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBFL,SC0001,HERCÍLIO LUZ,FLORIANÓPOLIS,SC,27° 40' 13'' S,48° 33' 9'' W,5,VFR Diurno/Noturno e IFR Diurno/Noturno, 14/32,2400,45,PCN 78/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBFN,PE0003,FERNANDO DE NORONHA,FERNANDO DE NORONHA,PE,3° 51' 17'' S,32° 25' 42'' W,58,VFR Diurno/Noturno e IFR Diurno/Noturno, 12/30,1845,45,PCN 30/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBFZ,CE0001,PINTO MARTINS,FORTALEZA,CE,3° 46' 33'' S,38° 31' 56'' W,25,VFR Diurno/Noturno e IFR Diurno/Noturno, 13/31,2545,45,PCN 66/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
