ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SIBZ,PB0010,ITAPORANGA,ITAPORANGA,PB,7° 18' 40'' S,38° 6' 49'' W,292,VFR Diurno, 14/32,1000,24,PCN 8/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SICB,PB0007,PEDRO SIMÕES PIMENTA,CUITÉ,PB,6° 29' 15'' S,36° 8' 24'' W,652,VFR Diurno, 10/28,1150,30,"5700 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SILC,MT0025,AEROPORTO MUNICIPAL BOM FUTURO ,LUCAS DO RIO VERDE,MT,13° 2' 16'' S,55° 57' 1'' W,414,VFR Diurno/Noturno, 08/26,1730,30,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SIMK,SP0011,TENENTE LUND PRESSOTO,FRANCA,SP,20° 35' 25'' S,47° 22' 57'' W,1003,VFR Diurno/Noturno, 05/23,2000,30,PCN 26/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SIZX,MT0018,JUARA SUL,JUARA,MT,11° 17' 12'' S,57° 32' 20'' W,302,VFR Diurno, 11/29,1200,30,"5700 kg / 0,5 MPa",Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SJAU,TO0007,ARAGUACEMA,ARAGUACEMA,TO,8° 50' 16'' S,49° 33' 28'' W,207,VFR Diurno, 12/30,1400,30,PCN 6/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJBY,MA0007,JOÃO SILVA,SANTA INÊS,MA,3° 39' 14'' S,45° 20' 42'' W,25,VFR Diurno, 06/24,1500,30,PCN 10/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJGU,TO0005,ARAGUATINS,ARAGUATINS,TO,5° 41' 4'' S,48° 6' 56'' W,125,VFR Diurno/Noturno, 12/30,1500,30,PCN 8/F/B/Y/T,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SBJA,SC0005,REGIONAL SUL,JAGUARUNA,SC,28° 40' 31'' S,49° 3' 37'' W,35,VFR Diurno/Noturno e IFR Diurno/Noturno, 05/23,2499,30,PCN 57/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJNP,PA0026,NOVO PROGRESSO,NOVO PROGRESSO,PA,7° 7' 33'' S,55° 24' 3'' W,242,VFR Diurno, 17/35,1050,28,"5700 kg / 0,5 MPa",Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SJOG,RO0008,ARIQUEMES,ARIQUEMES,RO,9° 53' 5'' S,63° 2' 56'' W,142,VFR Diurno, 03/21,1306,18,PCN 25/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJQN,GO0006,QUIRINÓPOLIS,QUIRINÓPOLIS,GO,18° 26' 46'' S,50° 24' 33'' W,586,VFR Diurno, 13/31,1500,30,PCN 10/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJRG,RS0013,REGIONAL DE RIO GRANDE,RIO GRANDE,RS,32° 5' 0'' S,52° 10' 3'' W,8,VFR Diurno/Noturno, 06/24,1900,30,PCN 11/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJTS,PA0028,TERRA SANTA,TERRA SANTA,PA,2° 4' 22'' S,56° 29' 20'' W,25,VFR Diurno, 12/30,1000,23,"5700 kg / 0,5 MPa",Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SJVO,GO0030,ARAGARÇAS,ARAGARÇAS,GO,15° 53' 57'' S,52° 14' 43'' W,323,VFR Diurno, 10/28,1010,30,PCN 14/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SJZA,PB0004,PEDRO VIEIRA MOREIRA,CAJAZEIRAS,PB,6° 52' 58'' S,38° 36' 57'' W,335,VFR Diurno/Noturno, 12/30,1600,30,PCN 26/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAB,PE0009,ARARIPINA,ARARIPINA,PE,7° 35' 11'' S,40° 32' 7'' W,669,VFR Diurno, 13/31,1247,26,PCN 4/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAE,PE0007,ARCOVERDE,ARCOVERDE,PE,8° 24' 28'' S,37° 5' 18'' W,634,VFR Diurno/Noturno, 15/33,1300,28,PCN 6/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAG,MG0020,ARAGUARI,ARAGUARI,MG,18° 40' 5'' S,48° 11' 25'' W,947,VFR Diurno, 05/23,1500,30,PCN 14/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAL,AL0003,ARAPIRACA,ARAPIRACA,AL,9° 46' 35'' S,36° 37' 50'' W,270,VFR Diurno/Noturno, 10/28,930,18,PCN 13/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAM,MG0011,SANTO ANTÔNIO DO AMPARO,SANTO ANTÔNIO DO AMPARO,MG,20° 54' 41'' S,44° 53' 40'' W,1097,VFR Diurno/Noturno, 18/36,1620,30,PCN 7/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAP,MG0021,JANAÚBA,JANAÚBA,MG,15° 43' 59'' S,43° 19' 26'' W,528,VFR Diurno, 10/28,1500,30,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAR,MG0033,CIRILO QUEIRÓZ,ALMENARA,MG,16° 11' 2'' S,40° 40' 2'' W,195,VFR Diurno/Noturno, 07/25,1400,30,PCN 8/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAS,MG0022,TRÊS MARIAS,TRÊS MARIAS,MG,18° 13' 30'' S,45° 11' 26'' W,786,VFR Diurno, 06/24,1500,45,PCN 24/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAC,CE0004,ARACATI (SNAT*),ARACATI,CE,4° 34' 7'' S,37° 48' 17'' W,36,VFR Diurno/Noturno e IFR Diurno/Noturno, 09/27,1800,30,PCN 36/F/A/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNAX,SP0016,MARCELO PIRES HALZHAUSEN,ASSIS,SP,22° 38' 24'' S,50° 27' 11'' W,564,VFR Diurno/Noturno, 12/30,1689,30,PCN 25/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBA,SP0013,CHAFEI AMSEI (SBBT*),BARRETOS,SP,20° 35' 8'' S,48° 35' 45'' W,580,VFR Diurno/Noturno, 08/26,1800,30,PCN 32/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBC,MA0006,BARRA DO CORDA,BARRA DO CORDA,MA,5° 30' 9'' S,45° 12' 58'' W,155,VFR Diurno, 08/26,1560,30,PCN 13/F/B/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNBG,ES0005,BAIXO GUANDU - AIMORÉS,BAIXO GUANDU,ES,19° 29' 56'' S,41° 2' 31'' W,80,VFR Diurno, 11/29,1200,30,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBI,MA0005,BACABAL,BACABAL,MA,4° 13' 41'' S,44° 49' 11'' W,20,VFR Diurno, 10/28,1600,30,PCN 25/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBM,MG0051,CRISTIANO FERREIRA VARELLA,MURIAÉ,MG,21° 7' 34'' S,42° 23' 40'' W,270,VFR Diurno, 12/30,1140,23,PCN 12/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBR,BA0011,BARREIRAS,BARREIRAS,BA,12° 4' 45'' S,45° 0' 34'' W,748,VFR Diurno/Noturno, 08/26,1600,30,PCN 35/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBS,MA0010,BALSAS,BALSAS,MA,7° 31' 31'' S,46° 3' 12'' W,284,VFR Diurno, 15/33,1000,23,PCN 14/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBX,BA0028,BARRA,BARRA,BA,11° 4' 52'' S,43° 8' 51'' W,389,VFR Diurno, 06/24,1300,20,PCN 10/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNBZ,BA0042,PARAMIRIM,PARAMIRIM,BA,13° 29' 26'' S,42° 13' 45'' W,639,VFR Diurno, 18/36,1179,25,"5700 kg / 0,5 MPa",Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNCA,MG0031,CAMPO BELO,CAMPO BELO,MG,20° 53' 33'' S,45° 20' 8'' W,970,VFR Diurno, 10/28,1420,30,PCN 25/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNCS,CE0009,CAMPOS SALES,CAMPOS SALES,CE,7° 2' 58'' S,40° 21' 51'' W,610,VFR Diurno, 11/29,1200,30,PCN 17/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNCT,MG0056,CARATINGA,UBAPORANGA,MG,19° 43' 31'' S,42° 6' 40'' W,599,VFR Diurno, 02/20,1080,23,"5000 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNCX,ES0004,COLATINA,COLATINA,ES,19° 29' 4'' S,40° 35' 4'' W,153,VFR Diurno/Noturno, 15/33,1300,30,PCN 8/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNCZ,MG0059,PONTE NOVA,PONTE NOVA,MG,20° 24' 11'' S,42° 55' 0'' W,572,VFR Diurno, 07/25,1060,30,PCN 11/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNDC,PA0030,REDENÇÃO,REDENÇÃO,PA,8° 1' 52'' S,49° 58' 47'' W,207,VFR Diurno, 06/24,960,30,PCN 7/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNDT,MG0030,JUSCELINO KUBITSCHEK,DIAMANTINA,MG,18° 13' 56'' S,43° 39' 1'' W,1356,VFR Diurno/Noturno, 03/21,1610,30,PCN 14/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNDV,MG0015,BRIGADEIRO ANTÔNIO CABRAL,DIVINÓPOLIS,MG,20° 10' 55'' S,44° 52' 12'' W,795,VFR Diurno/Noturno, 17/35,1540,30,PCN 20/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNDW,BA0043,DIVISA,ENCRUZILHADA,BA,15° 31' 10'' S,40° 52' 21'' W,826,VFR Diurno, 08/26,1200,20,"2500 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNEB,PA0018,NAGIB DEMACHKI,PARAGOMINAS,PA,3° 1' 11'' S,47° 18' 59'' W,135,VFR Diurno, 09/27,1450,30,PCN 30/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNED,BA0023,SÓCRATES REZENDE,CANAVIEIRAS,BA,15° 39' 59'' S,38° 57' 19'' W,6,VFR Diurno, 14/32,1340,30,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNEE,RS0004,VACARIA NOVO,VACARIA,RS,28° 25' 55'' S,51° 1' 22'' W,900,VFR Diurno, 11/29,2020,30,PCN 32/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNEU,BA0044,EUCLIDES DA CUNHA,EUCLIDES DA CUNHA,BA,10° 31' 39'' S,39° 1' 57'' W,462,VFR Diurno, 18/36,1200,22,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNFE,MG0012,COMANDANTE PASCHOAL PATROCÍNIO FILHO,ALFENAS,MG,21° 25' 54'' S,45° 55' 59'' W,875,VFR Diurno/Noturno, 04/22,1600,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNFO,MG0060,FORMIGA,FORMIGA,MG,20° 23' 43'' S,45° 29' 12'' W,1017,VFR Diurno, 02/20,1030,23,PCN 8/F/C/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNFU,MG0063,FRUTAL,FRUTAL,MG,20° 0' 17'' S,48° 57' 32'' W,549,VFR Diurno, 07/25,1320,30,PCN 15/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNFX,PA0013,SÃO FÉLIX DO XINGU,SÃO FÉLIX DO XINGU,PA,6° 38' 25'' S,51° 59' 24'' W,200,VFR Diurno, 13/31,1600,33,PCN 45/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNGA,ES0007,GUARAPARI,GUARAPARI,ES,20° 38' 47'' S,40° 29' 30'' W,9,VFR Diurno/Noturno, 06/24,940,30,PCN 13/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNGB,PI0011,GILBUÉS,GILBUÉS,PI,9° 50' 1'' S,45° 22' 2'' W,450,VFR Diurno, 09/27,1000,30,PCN 8/F/C/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNGD,PI0005,GUADALUPE,GUADALUPE,PI,6° 46' 56'' S,43° 34' 56'' W,172,VFR Diurno, 15/33,1600,36,PCN 9/F/C/X/U,Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SNGG,PI0007,BOM JESUS DO GURGUÉIA,BOM JESUS,PI,9° 3' 34'' S,44° 22' 9'' W,338,VFR Diurno, 16/34,1200,20,PCN 9/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNGI,BA0009,GUANAMBI,GUANAMBI,BA,14° 12' 29'' S,42° 44' 46'' W,553,VFR Diurno/Noturno, 14/32,1700,30,PCN 18/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNGN,PE0006,GARANHUNS,GARANHUNS,PE,8° 50' 4'' S,36° 28' 17'' W,772,VFR Diurno, 16/34,1254,28,PCN 6/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNGT,BA0029,GENTIO DO OURO,GENTIO DO OURO,BA,11° 26' 30'' S,42° 31' 8'' W,1082,VFR Diurno, 06/24,1300,29,PCN 10/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNGX,MG0023,GUAXUPÉ,GUAXUPÉ,MG,21° 19' 36'' S,46° 43' 49'' W,849,VFR Diurno/Noturno, 12/30,1500,30,PCN 19/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNHS,PE0005,SANTA MAGALHÃES,SERRA TALHADA,PE,8° 3' 41'' S,38° 19' 43'' W,470,VFR Diurno/Noturno, 13/31,1593,30,PCN 31/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIB,BA0045,ITABERABA,ITABERABA,BA,12° 29' 59'' S,40° 16' 13'' W,283,VFR Diurno, 14/32,1100,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIC,BA0019,IRECÊ,IRECÊ,BA,11° 20' 24'' S,41° 50' 49'' W,784,VFR Diurno/Noturno, 11/29,1400,30,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIE,BA0020,CAETITÉ,CAETITÉ,BA,14° 0' 44'' S,42° 29' 38'' W,976,VFR Diurno, 10/28,1365,20,PCN 12/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIG,CE0007,IGUATU,IGUATU,CE,6° 20' 48'' S,39° 17' 40'' W,213,VFR Diurno, 16/34,1410,30,PCN 16/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIO,BA0010,CIPÓ,CIPÓ,BA,11° 7' 31'' S,38° 29' 13'' W,223,VFR Diurno, 13/31,1620,27,PCN 4/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIP,BA0057,ITAPETINGA,ITAPETINGA,BA,15° 14' 40'' S,40° 16' 38'' W,270,VFR Diurno, 11/29,1060,29,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIT,BA0046,IBOTIRAMA,IBOTIRAMA,BA,12° 9' 52'' S,43° 13' 32'' W,422,VFR Diurno, 16/34,1100,20,PCN 6/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNIU,BA0030,IPIAÚ,IPIAÚ,BA,14° 10' 24'' S,39° 41' 3'' W,132,VFR Diurno, 15/33,1300,20,PCN 6/F/C/Z/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJB,BA0062,JACOBINA,JACOBINA,BA,11° 9' 47'' S,40° 33' 12'' W,489,VFR Diurno, 14/32,900,25,PCN 6/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SDIY,BA0013,JOÃO DURVAL CARNEIRO (SBFE*),FEIRA DE SANTANA,BA,12° 12' 2'' S,38° 54' 23'' W,238,VFR Diurno/Noturno, 13/31,1500,30,PCN 30/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJK,BA0047,JEQUIÉ,JEQUIÉ,BA,13° 52' 40'' S,40° 4' 17'' W,197,VFR Diurno, 14/32,1200,29,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJM,MG0050,ELIAS BREDER,MANHUAÇU,MG,20° 15' 35'' S,42° 11' 2'' W,829,VFR Diurno, 02/20,1170,30,PCN 14/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJN,MG0039,JANUÁRIA,JANUÁRIA,MG,15° 28' 29'' S,44° 23' 11'' W,480,VFR Diurno, 08/26,1200,30,PCN 10/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJO,PB0002,AEROCLUBE DE JOÃO PESSOA,JOÃO PESSOA,PB,7° 5' 30'' S,34° 50' 31'' W,6,VFR Diurno, 15/33,782,18,"5000 kg / 0,5 MPa",Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNJP,MG0036,JOÃO PINHEIRO,JOÃO PINHEIRO,MG,17° 47' 15'' S,46° 7' 12'' W,911,VFR Diurno, 06/24,1300,23,"5670 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJQ,MG0053,JEQUITINHONHA,JEQUITINHONHA,MG,16° 28' 20'' S,41° 1' 30'' W,260,VFR Diurno, 10/28,1130,23,PCN 6/F/C/Z/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNJR,MG0034,PREFEITO OCTÁVIO DE ALMEIDA NEVES,SÃO JOÃO DEL REI,MG,21° 5' 8'' S,44° 13' 31'' W,945,VFR Diurno/Noturno, 08/26,1400,30,PCN 16/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNKC,BA0058,COCOS,COCOS,BA,14° 10' 2'' S,44° 33' 2'' W,613,VFR Diurno, 15/33,1000,20,PCN 6/F/B/Y/U,Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SNKD,MG0070,CONCEIÇÃO DO MATO DENTRO,CONCEIÇÃO DO MATO DENTRO,MG,19° 1' 13'' S,43° 26' 2'' W,669,VFR Diurno, 15/33,960,23,PCN 8/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNKF,MG0071,DAS BANDEIRINHAS,CONSELHEIRO LAFAIETE,MG,20° 44' 19'' S,43° 47' 53'' W,1057,VFR Diurno, 04/22,902,24,PCN 9/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNKI,ES0006,CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,ES,20° 50' 7'' S,41° 11' 11'' W,78,VFR Diurno/Noturno, 06/24,1200,30,PCN 14/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNKK,RN0005,CAICÓ,CAICÓ,RN,6° 26' 21'' S,37° 4' 41'' W,182,VFR Diurno, 14/32,980,30,PCN 12/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNKN,RN0004,CURRAIS NOVOS,CURRAIS NOVOS,RN,6° 16' 51'' S,36° 32' 26'' W,365,VFR Diurno, 10/28,1040,30,PCN 6/F/B/Y/U,Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SNKR,PI0012,CORRENTE,CORRENTE,PI,10° 27' 7'' S,45° 8' 11'' W,473,VFR Diurno, 11/29,1000,20,"2500 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNKS,BA0064,SANTA RITA DE CÁSSIA,SANTA RITA DE CÁSSIA,BA,10° 59' 21'' S,44° 30' 55'' W,458,VFR Diurno, 09/27,800,35,PCN 10/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNKU,BA0066,CANUDOS,CANUDOS,BA,9° 54' 11'' S,39° 1' 58'' W,372,VFR Diurno, 14/32,700,22,"2500 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNLI,MG0040,DOUTOR JOSÉ MOURÃO,ABAETÉ,MG,19° 9' 26'' S,45° 29' 45'' W,664,VFR Diurno, 17/35,1200,30,"5670 kg / 0,63 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNLN,ES0002,MUNICIPAL DE LINHARES,LINHARES,ES,19° 21' 19'' S,40° 4' 10'' W,40,VFR Diurno/Noturno, 06/24,1350,30,PCN 14/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNLO,MG0037,SÃO LOURENÇO,SÃO LOURENÇO,MG,22° 5' 30'' S,45° 2' 43'' W,875,VFR Diurno, 05/23,1300,30,PCN 14/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNLT,PI0010,PAULISTANA,PAULISTANA,PI,8° 9' 59'' S,41° 9' 14'' W,360,VFR Diurno, 07/25,1060,30,"2500 kg / 0,5 MPa",Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNMA,PA0019,MONTE ALEGRE,MONTE ALEGRE,PA,1° 59' 48'' S,54° 4' 17'' W,99,VFR Diurno, 10/28,1425,30,PCN 9/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMC,BA0026,MACAÚBAS,MACAÚBAS,BA,13° 1' 30'' S,42° 40' 20'' W,641,VFR Diurno, 12/30,1318,19,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMH,GO0018,PIRENÓPOLIS,PIRENÓPOLIS,GO,15° 50' 53'' S,48° 58' 49'' W,785,VFR Diurno, 15/33,1295,30,PCN 18/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMJ,BA0031,MARACÁS,MARACÁS,BA,13° 23' 10'' S,40° 27' 58'' W,962,VFR Diurno, 07/25,1300,20,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMK,MG0017,MOCAMBINHO,JAÍBA,MG,15° 5' 35'' S,43° 58' 45'' W,450,VFR Diurno, 11/29,1531,30,PCN 14/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMN,MG0075,MINAS NOVAS,MINAS NOVAS,MG,17° 14' 2'' S,42° 35' 2'' W,750,VFR Diurno, 15/33,800,20,"2500 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMR,BA0065,MARAÚ,MARAÚ,BA,14° 7' 2'' S,38° 59' 2'' W,20,VFR Diurno, 12/30,800,30,"5000 kg / 0,5 MPa",Areia,,,,,,,,,,,,,,,,,,,,,,,,
SNMX,ES0003,SÃO MATEUS,SÃO MATEUS,ES,18° 43' 17'' S,39° 50' 1'' W,30,VFR Diurno/Noturno, 08/26,1350,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNMZ,PA0020,PORTO DE MOZ,PORTO DE MOZ,PA,1° 44' 29'' S,52° 14' 9'' W,16,VFR Diurno, 05/23,1270,28,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNNE,MG0078,SEBASTIÃO CARLOS LEITE,SÃO JOÃO NEPOMUCENO,MG,21° 32' 32'' S,43° 1' 16'' W,403,VFR Diurno, 11/29,620,40,"3000 kg / 0,5 MPa",Saibro,,,,,,,,,,,,,,,,,,,,,,,,
SNNU,MG0041,NANUQUE,NANUQUE,MG,17° 49' 23'' S,40° 19' 47'' W,210,VFR Diurno, 11/29,1220,23,PCN 13/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNOB,CE0013,AERÓDROMO PÚBLICO DE SOBRAL,SOBRAL,CE,3° 40' 44'' S,40° 20' 12'' W,64,VFR Diurno/Noturno, 10/28,1033,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNOC,BA0059,MORRO DO CHAPÉU,MORRO DO CHAPÉU,BA,11° 32' 4'' S,41° 10' 47'' W,1100,VFR Diurno, 15/33,1000,25,PCN 7/F/C/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNOE,PI0008,OEIRAS,OEIRAS,PI,7° 1' 8'' S,42° 10' 2'' W,250,VFR Diurno, 11/29,1200,40,PCN 8/F/C/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNOF,MG0057,OURO FINO,OURO FINO,MG,22° 17' 51'' S,46° 23' 36'' W,859,VFR Diurno, 06/24,1080,50,"2500 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SNOS,MG0024,MUNICIPAL JOSÉ FIGUEIREDO,PASSOS,MG,20° 44' 0'' S,46° 39' 35'' W,822,VFR Diurno/Noturno, 14/32,1500,30,PCN 19/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNOU,AC0003,NOVO AERÓDROMO DE FEIJÓ,FEIJÓ,AC,8° 8' 29'' S,70° 20' 27'' W,168,VFR Diurno, 03/21,1200,24,"5500 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNOX,PA0014,ORIXIMINÁ,ORIXIMINÁ,PA,1° 42' 49'' S,55° 50' 9'' W,80,VFR Diurno, 17/35,1600,30,PCN 27/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNPA,MG0052,PARÁ DE MINAS,PARÁ DE MINAS,MG,19° 50' 33'' S,44° 36' 3'' W,839,VFR Diurno, 12/30,1140,23,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNPC,PI0009,PICOS,PICOS,PI,7° 3' 55'' S,41° 31' 10'' W,320,VFR Diurno, 14/32,1200,24,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNPD,MG0010,PATOS DE MINAS,PATOS DE MINAS,MG,18° 40' 20'' S,46° 29' 29'' W,851,VFR Diurno/Noturno, 09/27,1700,30,PCN 39/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
